,collision_hour,killed_victims,year_option
493,13,126.0,2020
494,14,150.0,2020
495,15,154.0,2020
496,16,170.0,2020
497,17,182.0,2020
498,18,213.0,2020
499,19,252.0,2020
500,20,225.0,2020
501,21,248.0,2020
502,22,198.0,2020
503,23,210.0,2020
504,0,24.0,2021
505,1,20.0,2021
506,2,18.0,2021
507,3,12.0,2021
508,4,15.0,2021
509,5,30.0,2021
510,6,29.0,2021
511,7,12.0,2021
512,8,14.0,2021
513,9,16.0,2021
514,10,13.0,2021
515,11,22.0,2021
516,12,26.0,2021
517,13,22.0,2021
518,14,32.0,2021
519,15,29.0,2021
520,16,27.0,2021
521,17,37.0,2021
522,18,52.0,2021
523,19,50.0,2021
524,20,42.0,2021
525,21,33.0,2021
526,22,45.0,2021
527,23,41.0,2021
